original_claim,processed_claim,label,id,label_id,predicted_label_id,predicted_label,is_correct,prediction_confidence,word_count,length_bin,conf_bin
An album of Drake (musician) became platinum.,album drake musician became platinum,SUPPORTS,49719,0,2,NOT ENOUGH INFO,False,0.927955,7,6-10,0.9-1.0
"In 1937, The Republic of Ireland adopted its constitution.",1937 republic ireland adopted constitution,SUPPORTS,20682,0,2,NOT ENOUGH INFO,False,0.84069604,9,6-10,0.8-0.9
Mike Pence was mayor of Indiana.,mike penny mayor indiana,SUPPORTS,93236,0,2,NOT ENOUGH INFO,False,0.9703169,6,6-10,0.9-1.0
Lilith can be found in texts in the Hebrew-language.,lilith found text hebrewlanguage,SUPPORTS,61176,0,2,NOT ENOUGH INFO,False,0.9145766,9,6-10,0.9-1.0
Cracks is an independent film,crack independent film,SUPPORTS,199576,0,2,NOT ENOUGH INFO,False,0.78539556,5,0-5,0.7-0.8
RMS Titanic contained a radiotelegraph transmitter.,rms titanic contained radiotelegraph transmitter,SUPPORTS,39109,0,2,NOT ENOUGH INFO,False,0.98229456,6,6-10,0.9-1.0
Saint Peter is a figure in the Catholic church.,saint peter figure catholic church,SUPPORTS,8875,0,2,NOT ENOUGH INFO,False,0.99527943,9,6-10,0.9-1.0
Mike Myers produced the documentary film Supermensch: The Legend of Shep Gordon.,mike myers produced documentary film supermensch legend shep gordon,SUPPORTS,82710,0,2,NOT ENOUGH INFO,False,0.9769239,12,11-15,0.9-1.0
Ryan Phillippe was married from 1999 to 2007.,ryan phillippe married 1999 2007,SUPPORTS,217842,0,2,NOT ENOUGH INFO,False,0.84850043,8,6-10,0.8-0.9
Noam Chomsky is credited in the creation of the universal grammar theory.,noam chomsky credited creation universal grammar theory,SUPPORTS,3124,0,2,NOT ENOUGH INFO,False,0.80983657,12,11-15,0.8-0.9
Orson Welles adapted Julius Caesar by Shakespeare into a modern-dress bare-stage play.,orson welles adapted julius caesar shakespeare moderndress barestage play,SUPPORTS,36976,0,2,NOT ENOUGH INFO,False,0.5408314,12,11-15,0.5-0.6
Copyrighted songs taken from other sources are typically included on a mixtape.,copyrighted song taken source typically included mixtape,SUPPORTS,69557,0,2,NOT ENOUGH INFO,False,0.9977818,12,11-15,0.9-1.0
Oh Yeon-seo worked with Jo Eun-byul and she was musical.,oh yeonseo worked jo eunbyul musical,SUPPORTS,218796,0,2,NOT ENOUGH INFO,False,0.96661377,10,6-10,0.9-1.0
Thanos is a character that appeared in a product.,thanos character appeared product,SUPPORTS,220410,0,2,NOT ENOUGH INFO,False,0.98326516,9,6-10,0.9-1.0
Backstreet Boys released their 8th album in 2013.,backstreet boy released 8th album 2013,SUPPORTS,11520,0,2,NOT ENOUGH INFO,False,0.99129,8,6-10,0.9-1.0
Winona Ryder was in Beetlejuice.,winona ryder beetlejuice,SUPPORTS,6731,0,2,NOT ENOUGH INFO,False,0.87878746,5,0-5,0.8-0.9
Joey Graceffa is a YouTube personality.,joey graceffa youtube personality,SUPPORTS,188338,0,2,NOT ENOUGH INFO,False,0.9879915,6,6-10,0.9-1.0
The Wolf of Wall Street (2013 film) had a lot of nominations.,wolf wall street 2013 film lot nomination,SUPPORTS,53128,0,2,NOT ENOUGH INFO,False,0.9908737,12,11-15,0.9-1.0
Ethan Hawke appeared in a trilogy.,ethan hawke appeared trilogy,SUPPORTS,63930,0,2,NOT ENOUGH INFO,False,0.9713958,6,6-10,0.9-1.0
Asteroid Day is an event.,asteroid day event,SUPPORTS,169770,0,2,NOT ENOUGH INFO,False,0.93751293,5,0-5,0.9-1.0
Stephen Hawking has a rare early-onset form of amyotrophic lateral sclerosis that slowly paralyzed him.,stephen hawking rare earlyonset form amyotrophic lateral sclerosis slowly paralyzed,SUPPORTS,85022,0,2,NOT ENOUGH INFO,False,0.87583303,15,11-15,0.8-0.9
Karl Malone played for the Utah Jazz for 18 seasons.,karl malone played utah jazz 18 season,SUPPORTS,189526,0,2,NOT ENOUGH INFO,False,0.9879413,10,6-10,0.9-1.0
Tardigrades have been found in tropical rain forests and the Antarctic.,tardigrade found tropical rain forest antarctic,SUPPORTS,217556,0,2,NOT ENOUGH INFO,False,0.9979825,11,11-15,0.9-1.0
"Nike, Inc.'s trademarks are ""Just Do It"" and the Swoosh logo.",nike inc trademark swoosh logo,SUPPORTS,8511,0,2,NOT ENOUGH INFO,False,0.9976593,11,11-15,0.9-1.0
Ileana D'Cruz starred in Kick.,ileana dcruz starred kick,SUPPORTS,165498,0,2,NOT ENOUGH INFO,False,0.7771058,5,0-5,0.7-0.8
Asia is bounded by three oceans.,asia bounded three ocean,SUPPORTS,27202,0,2,NOT ENOUGH INFO,False,0.99591064,6,6-10,0.9-1.0
Alicia Keys was produced for by Kanye West.,alicia key produced kanye west,SUPPORTS,167139,0,2,NOT ENOUGH INFO,False,0.39632863,8,6-10,0.3-0.4
